filename,width,height,class,xmin,ymin,xmax,ymax
0000f77c-6257be58-0000014.jpg,1280,720,licence,722,359,812,401
0000f77c-6257be58-0000026.jpg,1280,720,licence,693,365,784,405
0000f77c-6257be58-0000104.jpg,1280,720,licence,478,365,520,386
0000f77c-6257be58-0000111.jpg,1280,720,licence,509,407,588,437
0000f77c-6257be58-0000152.jpg,1280,720,licence,496,411,560,440
0000f77c-6257be58-0000197.jpg,1280,720,licence,773,375,807,394
00067cfb-caba8a02-0000028.jpg,1280,720,licence,318,412,371,444
00067cfb-caba8a02-0000046.jpg,1280,720,licence,293,425,357,460
00091078-7cff8ea6-0000056.jpg,1280,720,licence,459,467,554,517
00091078-7cff8ea6-0000142.jpg,1280,720,licence,461,465,553,517
00091078-84635cf2-0000020.jpg,1280,720,licence,387,520,496,582
00091078-84635cf2-0000087.jpg,1280,720,licence,396,515,501,570
00091078-875c1f73-0000172.jpg,1280,720,licence,535,440,586,474
00091078-875c1f73-0000195.jpg,1280,720,licence,482,451,555,494
00091078-875c1f73-0000202.jpg,1280,720,licence,496,454,565,496
00091078-cedbfea7-0000007.jpg,1280,720,licence,503,445,553,472
00091078-cedbfea7-0000025.jpg,1280,720,licence,454,473,532,520
00091078-cedbfea7-0000060.jpg,1280,720,licence,371,497,463,549
00091078-cedbfea7-0000093.jpg,1280,720,licence,403,472,475,517
00091078-cedbfea7-0000101.jpg,1280,720,licence,384,485,463,529
00091078-cedbfea7-0000147.jpg,1280,720,licence,371,494,461,544
00091078-cedbfea7-0000197.jpg,1280,720,licence,373,495,459,540
00091078-cedbfea7-0000222.jpg,1280,720,licence,373,492,463,540
00091078-cedbfea7-0000260.jpg,1280,720,licence,368,493,459,543
00091078-f32de4d2-0000189.jpg,1280,720,licence,423,564,518,610
000d4f89-3bcbe37a-0000184.jpg,1280,720,licence,309,408,353,423
000d4f89-3bcbe37a-0000190.jpg,1280,720,licence,288,394,330,410
000d4f89-3bcbe37a-0000191.jpg,1280,720,licence,140,400,200,423
000d4f89-3bcbe37a-0000200.jpg,1280,720,licence,92,411,168,437
0096bcca-095d2c02-0000024.jpg,1280,720,licence,587,337,638,365
01e5bbac-330a3c37-0000037.jpg,1280,720,licence,593,556,647,569
01e5bbac-330a3c37-0000153.jpg,1280,720,licence,525,651,608,695
01e5bbac-330a3c37-0000154.jpg,1280,720,licence,535,639,616,688
01e5bbac-330a3c37-0000181.jpg,1280,720,licence,638,550,669,573
0204aad7-9e1e915e-0000032.jpg,1280,720,licence,444,353,551,412
03bda335-c7b9119c-0000026.jpg,1280,720,licence,763,449,817,468
03bda335-c7b9119c-0000083.jpg,1280,720,licence,665,421,700,434
03bda335-c7b9119c-0000160.jpg,1280,720,licence,322,475,398,505
03bda335-c7b9119c-0000169.jpg,1280,720,licence,8,510,113,543
08-0J6A7821.jpg,651,434,licence,441,230,536,258
1063690.jpg,464,348,licence,248,222,336,257
1085901_105_236_1699_956_0_large.jpg,490,276,licence,307,89,376,124
1088101.jpg,464,347,licence,138,212,246,245
1115020.jpg,464,348,licence,144,274,246,308
1139470.jpg,464,348,licence,208,148,353,209
1160228-800.jpg,800,392,licence,152,280,303,325
1551785486352-0.jpg,540,360,licence,113,247,187,274
1571095_0.jpg,400,287,licence,114,238,247,273
20180424_134825_HDR-660x330.jpg,660,330,licence,387,190,477,217
20210919_180110.jpg,800,600,licence,292,448,509,500
2284298_0.jpg,1205,840,licence,941,649,1097,775
2364954_1.jpg,1024,768,licence,749,360,863,451
301-F.jpg,640,480,licence,237,307,387,343
539036301000100490324no.jpg,490,324,licence,101,204,193,231
53903650100994640360no.jpg,640,360,licence,511,230,558,255
57a1d436d4bbffdc2bdc2b107ec4f508.jpg,1024,768,licence,451,311,767,401
5dw9a.jpg,1024,576,licence,119,347,266,389
9133335_0_0_5472_3648_x-large.jpg,1024,682,licence,703,481,825,524
9224190169_df2211835f_b.jpg,1024,683,licence,543,271,752,336
922751.jpg,450,317,licence,86,208,152,242
aaa.jpg,499,336,licence,42,246,100,285
audi.jpg,520,347,licence,226,216,284,231
b955232a-62397ff4-0000031.jpg,1280,720,licence,832,412,917,450
C4 D - 9.jpeg,500,333,licence,87,176,139,206
CAL093654_lm.jpg,640,320,licence,393,221,451,246
corsa.jpg,521,347,licence,23,236,76,262
CVISH-620444.jpg,640,480,licence,324,243,348,254
dao.jpg,1000,667,licence,252,465,424,517
diw.jpg,299,168,licence,206,102,246,114
dowd.jpg,300,168,licence,66,94,247,137
dscf3153-970px.jpg,970,546,licence,198,360,315,392
DSCF6496.jpg,600,400,licence,142,250,215,275
DSC_7227.jpg,651,434,licence,251,252,347,281
dw4a.jpg,1024,576,licence,133,380,212,420
eyal.jpg,610,405,licence,130,257,238,293
fdwad.jpg,1024,576,licence,147,406,282,447
GAC GE3 4(1).jpg,520,346,licence,157,197,215,215
gac.jpg,871,550,licence,148,408,227,446
ge23.jpg,650,330,licence,115,188,195,215
giom2.jpg,768,576,licence,69,347,128,420
giomm.jpg,800,600,licence,78,358,145,412
Idit78-5.jpg,550,413,licence,118,256,275,296
Image10.png,3840,2160,licence,1928,1689,2059,1732
Image10.png,3840,2160,licence,1149,1740,1281,1784
Image10.png,3840,2160,licence,972,1650,1048,1672
Image101.png,3840,2160,licence,1048,1801,1181,1838
Image103.png,3840,2160,licence,374,1935,621,2012
Image103.png,3840,2160,licence,3241,1666,3487,1734
Image103.png,3840,2160,licence,2399,1636,2476,1663
Image105.png,3840,2160,licence,316,1779,517,1829
Image105.png,3840,2160,licence,1374,1740,1484,1773
Image105.png,3840,2160,licence,2299,1597,2359,1624
Image106.png,3840,2160,licence,898,1646,1010,1679
Image107.png,3840,2160,licence,779,1921,1009,1979
Image107.png,3840,2160,licence,697,1631,777,1671
Image107.png,3840,2160,licence,2320,1697,2424,1730
Image107.png,3840,2160,licence,1724,1625,1763,1636
Image11.png,3840,2160,licence,1941,1765,2119,1827
Image11.png,3840,2160,licence,1240,1734,1353,1770
Image11.png,3840,2160,licence,1534,1595,1573,1617
Image111.png,3840,2160,licence,310,1654,419,1695
Image111.png,3840,2160,licence,1923,1601,1968,1618
Image112.png,3840,2160,licence,480,1785,630,1824
Image112.png,3840,2160,licence,1262,1676,1332,1692
Image112.png,3840,2160,licence,2295,1596,2359,1613
Image112.png,3840,2160,licence,1893,1608,1940,1624
Image113.png,3840,2160,licence,1980,1616,2049,1634
Image115.png,3840,2160,licence,884,1702,931,1731
Image115.png,3840,2160,licence,1291,1647,1340,1661
Image115.png,3840,2160,licence,2255,1584,2314,1597
Image116.png,3840,2160,licence,2426,1615,2508,1639
Image116.png,3840,2160,licence,1374,1653,1438,1669
